city,year,month,day,avg(la),avg(AQI),avg(lo)
青岛,2018,8,20,35.0,27.09090909090909,120.0
厦门,2018,8,12,24.0,73.63333333333334,117.0
海口,2019,2,7,20.0,20.02857142857143,110.0
郑州,2019,2,1,35.0,66.41984732824427,112.0
海口,2018,8,28,20.0,39.0,110.0
北京,2019,2,27,39.0,84.36363636363636,117.0
郑州,2019,2,25,34.0,246.09230769230768,114.0
上海,2019,2,14,30.0,39.714285714285715,120.0
郑州,2019,1,7,34.0,213.5681818181818,113.0
成都,2018,8,25,30.0,67.44827586206897,104.0
上海,2019,2,21,31.0,75.23275862068965,121.0
乌鲁木齐,2019,1,26,42.0,146.0,89.0
上海,2019,2,27,31.0,41.0727969348659,121.0
天津,2018,8,22,39.0,65.94915254237289,118.0
北京,2019,1,14,39.0,273.73333333333335,117.0
海口,2019,1,3,19.0,25.13888888888889,110.0
北京,2019,1,13,38.0,310.8333333333333,115.0
成都,2019,1,4,30.0,77.97391304347826,103.0
北京,2019,2,12,39.0,62.2906976744186,116.0
乌鲁木齐,2019,2,25,43.0,125.64948453608247,87.0
昆明,2019,1,6,24.0,44.198113207547166,102.0
青岛,2019,2,5,37.0,113.65217391304348,119.0
天津,2019,2,26,40.0,72.71666666666667,116.0
成都,2018,8,1,30.0,34.29545454545455,103.0
济南,2019,2,28,36.0,114.33333333333333,115.0
郑州,2019,1,31,33.0,86.71028037383178,113.0
成都,2019,1,20,30.0,88.40517241379311,103.0
成都,2019,1,3,31.0,36.04347826086956,103.0
